City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,jiangyan,32.5061,120.1428,6.66,77,96,2.46,CN,1710692777
301,anloga,5.7947,0.8973,30.02,74,20,7.35,GH,1710692777
302,douz,33.4663,9.0203,24.65,23,5,2.36,TN,1710692777
303,puerto la cruz,10.2167,-64.6167,28.19,71,43,3.44,VE,1710692611
304,borazjan,29.2666,51.2159,24.51,49,94,0.88,IR,1710692778
305,namalenga,-10.95,39.1,23.32,97,96,1.58,TZ,1710692778
306,kailua-kona,19.6406,-155.9956,21.95,82,0,2.06,US,1710692778
307,nova sintra,14.8667,-24.7167,20.72,78,85,12.3,CV,1710692778
308,touros,-5.1989,-35.4608,31.04,66,99,5.95,BR,1710692779
309,kyongwon,42.8136,130.1528,-2.11,48,3,5.71,KP,1710692779
310,hatillo,18.4863,-66.8254,32.44,80,0,5.36,PR,1710692774
311,chonchi,-42.6128,-73.8092,12.56,70,100,1.36,CL,1710692779
312,tchintabaraden,15.8969,5.7985,35.79,6,0,5.12,NE,1710692779
313,khanty-mansiysk,61.0042,69.0019,3.06,65,0,8.05,RU,1710692571
314,udachny,66.4167,112.4,-13.64,84,100,4.07,RU,1710692780
315,piacabucu,-10.4056,-36.4344,30.32,68,74,4.51,BR,1710692780
316,awjilah,29.1081,21.2869,20.19,34,22,5.95,LY,1710692780
317,chibougamau,49.9168,-74.3659,-1.21,64,100,3.6,CA,1710692780
318,clarence town,-32.5833,151.7833,19.92,98,99,0.17,AU,1710692781
319,ust'-ilimsk,58.0006,102.6619,-4.2,87,100,4.02,RU,1710692781
320,qaqortoq,60.7167,-46.0333,-5.15,86,100,0.79,GL,1710692781
321,tangalle,6.024,80.7911,25.79,70,2,4.52,LK,1710692782
322,matelandia,-25.2408,-53.9964,35.51,37,51,2.95,BR,1710692782
323,kiruna,67.8557,20.2251,-7.49,53,90,5.14,SE,1710692782
324,meadow lake,34.8014,-106.5436,7.69,74,99,6.41,US,1710692782
325,binzhou,37.3667,118.0167,3.37,39,100,3.03,CN,1710692783
326,san andres,12.5847,-81.7006,30.01,70,20,6.17,CO,1710692783
327,orumiyeh,37.5527,45.0761,7.75,53,40,4.12,IR,1710692783
328,ternate,0.8,127.4,26.52,77,75,3.77,ID,1710692783
329,mahenge,-8.6833,36.7167,19.89,94,83,1.31,TZ,1710692784
330,carutapera,-1.195,-46.02,27.52,89,100,3.06,BR,1710692570
331,new norfolk,-42.7826,147.0587,14.84,97,0,1.31,AU,1710692785
332,quang ngai,15.1167,108.8,22.34,95,0,1.95,VN,1710692785
333,sitka,57.0531,-135.33,6.94,87,100,6.17,US,1710692524
334,kresttsy,58.2452,32.5165,3.99,98,100,1.35,RU,1710692785
335,zakynthos,37.7914,20.8953,17.62,52,40,3.6,GR,1710692613
336,arraial do cabo,-22.9661,-42.0278,36.98,62,0,4.63,BR,1710692786
337,padang,-0.9492,100.3543,26.03,88,99,1.76,ID,1710692516
338,klyuchi,52.2667,79.1667,-2.4,91,100,3.58,RU,1710692786
339,nyurba,63.2842,118.3319,-11.87,94,100,2.74,RU,1710692787
340,barkly west,-28.5354,24.5215,34.6,11,7,6.63,ZA,1710692787
341,mount pearl,47.5166,-52.7813,2.69,67,75,4.63,CA,1710692787
342,itoman,26.1247,127.6694,19.43,79,20,8.75,JP,1710692788
343,panyutyne,48.9333,36.2833,7.06,74,100,1.66,UA,1710692788
344,verkhniy ufaley,56.0567,60.2306,-3.47,89,7,2.06,RU,1710692788
345,chebba,35.2372,11.115,17.84,63,37,6.2,TN,1710692788
346,carnarvon,-24.8667,113.6333,25.92,72,57,9.47,AU,1710692789
347,jumla,29.2747,82.1838,5.98,46,94,2.2,NP,1710692789
348,eduardo castex,-35.915,-64.2945,26.15,41,5,6.75,AR,1710692789
349,kurakhovo,47.9852,37.2821,6.94,76,96,0.54,UA,1710692790
350,marion,39.7684,-86.1555,7.34,44,40,8.75,US,1710692490
351,rovaniemi,66.5,25.7167,-6.33,58,0,3.6,FI,1710692790
352,belomorsk,64.5232,34.7668,-6.39,82,60,1.12,RU,1710692790
353,dawei,14.0833,98.2,26.74,70,79,0.53,MM,1710692790
354,zhatay,62.1594,129.8294,-24.97,77,0,2.0,RU,1710692791
355,dunay,42.8803,132.3375,-2.38,62,34,11.28,RU,1710692791
356,orda,57.1951,56.9091,-4.99,89,17,3.72,RU,1710692791
357,vallenar,-28.5708,-70.7581,26.99,41,0,3.13,CL,1710692791
358,chittaurgarh,24.8833,74.6333,23.97,23,83,3.83,IN,1710692792
359,axim,4.8699,-2.2405,30.62,70,39,4.26,GH,1710692792
